filepath,caption
./dataset\chemspeed_clear\image_361.jpg,chemspeed clear
./dataset\chemspeed_hazard\image_39.jpg,chemspeed hazard
./dataset/capping_hazard/missing_vial_35.jpg,capping missing vial
./dataset\chemspeed_hazard\image_170.jpg,chemspeed hazard
./dataset\chemspeed_clear\image_249.jpg,chemspeed clear
./dataset\chemspeed_hazard\image_366.jpg,chemspeed hazard
./dataset/capping_clear/clear_rack_480.jpg,capping clear
dataset/navigation/Empty floor_22.jpg,navigation Empty floor
./dataset/capping_clear/clear_rack_152.jpg,capping clear
./dataset\chemspeed_clear\image_168.jpg,chemspeed clear
dataset/navigation/Empty floor_94.jpg,navigation Empty floor
./dataset/capping_hazard/obstruction_29.jpg,capping obstruction
./dataset\chemspeed_hazard\image_151.jpg,chemspeed hazard
./dataset/capping_clear/clear_rack_459.jpg,capping clear
dataset/navigation/Empty floor_202.jpg,navigation Empty floor
dataset/navigation/object glove on the floor_17.jpg,navigation object glove
./dataset\chemspeed_clear\image_145.jpg,chemspeed clear
./dataset/capping_hazard/missing_vial_28.jpg,capping missing vial
./dataset\chemspeed_hazard\image_21.jpg,chemspeed hazard
dataset/navigation/other objects on the floor_42.jpg,navigation other objects
./dataset\chemspeed_hazard\image_340.jpg,chemspeed hazard
./dataset\chemspeed_clear\image_266.jpg,chemspeed clear
./dataset\chemspeed_clear\image_416.jpg,chemspeed clear
./dataset\chemspeed_hazard\image_71.jpg,chemspeed hazard
./dataset\chemspeed_clear\image_16.jpg,chemspeed clear
dataset/navigation/object glove on the floor_120.jpg,navigation object glove
dataset/navigation/object tool on the floor_96.jpg,navigation object tool
./dataset/capping_clear/clear_rack_27.jpg,capping clear
./dataset/capping_hazard/obstruction_83.jpg,capping obstruction
./dataset\chemspeed_hazard\image_300.jpg,chemspeed hazard
./dataset\chemspeed_clear\image_47.jpg,chemspeed clear
dataset/navigation/Empty floor_432.jpg,navigation Empty floor
dataset/navigation/Empty floor_258.jpg,navigation Empty floor
./dataset\chemspeed_hazard\image_13.jpg,chemspeed hazard
./dataset\chemspeed_hazard\image_355.jpg,chemspeed hazard
./dataset\chemspeed_hazard\image_7.jpg,chemspeed hazard
./dataset/capping_clear/clear_rack_385.jpg,capping clear
dataset/navigation/object vial on the floor_124.jpg,navigation object vial
./dataset/capping_hazard/obstruction_40.jpg,capping obstruction
dataset/navigation/object tool on the floor_1.jpg,navigation object tool
./dataset\chemspeed_hazard\image_368.jpg,chemspeed hazard
dataset/navigation/Empty floor_241.jpg,navigation Empty floor
./dataset\chemspeed_hazard\image_373.jpg,chemspeed hazard
./dataset\chemspeed_clear\image_108.jpg,chemspeed clear
./dataset\chemspeed_hazard\image_103.jpg,chemspeed hazard
./dataset\chemspeed_hazard\image_432.jpg,chemspeed hazard
./dataset\chemspeed_hazard\image_213.jpg,chemspeed hazard
./dataset/capping_hazard/missing_cap_73.jpg,capping missing cap
./dataset\chemspeed_clear\image_144.jpg,chemspeed clear
./dataset\chemspeed_hazard\image_286.jpg,chemspeed hazard
dataset/navigation/Empty floor_170.jpg,navigation Empty floor
./dataset\chemspeed_hazard\image_222.jpg,chemspeed hazard
dataset/navigation/Empty floor_228.jpg,navigation Empty floor
dataset/navigation/Empty floor_462.jpg,navigation Empty floor
./dataset\chemspeed_clear\image_489.jpg,chemspeed clear
./dataset/capping_clear/clear_rack_65.jpg,capping clear
dataset/navigation/object vial on the floor_86.jpg,navigation object vial
./dataset\chemspeed_clear\image_54.jpg,chemspeed clear
./dataset/capping_hazard/obstruction_18.jpg,capping obstruction
dataset/navigation/Empty floor_118.jpg,navigation Empty floor
./dataset/capping_clear/clear_rack_72.jpg,capping clear
./dataset\chemspeed_clear\image_234.jpg,chemspeed clear
dataset/navigation/Empty floor_370.jpg,navigation Empty floor
dataset/navigation/Empty floor_230.jpg,navigation Empty floor
./dataset\chemspeed_clear\image_124.jpg,chemspeed clear
dataset/navigation/object glove on the floor_77.jpg,navigation object glove
dataset/navigation/object tool on the floor_28.jpg,navigation object tool
./dataset\chemspeed_clear\image_368.jpg,chemspeed clear
dataset/navigation/object tool on the floor_77.jpg,navigation object tool
dataset/navigation/Empty floor_307.jpg,navigation Empty floor
dataset/navigation/other objects on the floor_107.jpg,navigation other objects
./dataset\chemspeed_clear\image_359.jpg,chemspeed clear
./dataset\chemspeed_hazard\image_35.jpg,chemspeed hazard
./dataset/capping_clear/clear_rack_25.jpg,capping clear
./dataset/capping_clear/clear_rack_352.jpg,capping clear
./dataset/capping_hazard/missing_cap_61.jpg,capping missing cap
dataset/navigation/other objects on the floor_30.jpg,navigation other objects
dataset/navigation/Empty floor_244.jpg,navigation Empty floor
./dataset\chemspeed_clear\image_32.jpg,chemspeed clear
./dataset\chemspeed_clear\image_302.jpg,chemspeed clear
./dataset/capping_hazard/spillage_11.jpg,capping spillage
./dataset/capping_clear/clear_rack_455.jpg,capping clear
dataset/navigation/Empty floor_113.jpg,navigation Empty floor
./dataset/capping_hazard/missing_vial_18.jpg,capping missing vial
./dataset\chemspeed_hazard\image_255.jpg,chemspeed hazard
./dataset/capping_clear/clear_rack_198.jpg,capping clear
./dataset\chemspeed_clear\image_382.jpg,chemspeed clear
./dataset\chemspeed_hazard\image_166.jpg,chemspeed hazard
./dataset/capping_clear/clear_rack_129.jpg,capping clear
dataset/navigation/object tool on the floor_4.jpg,navigation object tool
dataset/navigation/object vial on the floor_68.jpg,navigation object vial
./dataset\chemspeed_hazard\image_325.jpg,chemspeed hazard
dataset/navigation/Empty floor_1.jpg,navigation Empty floor
./dataset\chemspeed_clear\image_351.jpg,chemspeed clear
dataset/navigation/other objects on the floor_121.jpg,navigation other objects
./dataset\chemspeed_clear\image_442.jpg,chemspeed clear
dataset/navigation/object vial on the floor_21.jpg,navigation object vial
dataset/navigation/object vial on the floor_35.jpg,navigation object vial
./dataset\chemspeed_clear\image_445.jpg,chemspeed clear
./dataset/capping_clear/clear_rack_157.jpg,capping clear
dataset/navigation/object tool on the floor_122.jpg,navigation object tool
./dataset\chemspeed_hazard\image_362.jpg,chemspeed hazard
dataset/navigation/Empty floor_362.jpg,navigation Empty floor
dataset/navigation/object vial on the floor_24.jpg,navigation object vial
./dataset\chemspeed_clear\image_208.jpg,chemspeed clear
./dataset/capping_clear/clear_rack_382.jpg,capping clear
./dataset/capping_clear/clear_rack_367.jpg,capping clear
./dataset/capping_hazard/obstruction_38.jpg,capping obstruction
dataset/navigation/Empty floor_247.jpg,navigation Empty floor
./dataset\chemspeed_hazard\image_271.jpg,chemspeed hazard
./dataset\chemspeed_clear\image_485.jpg,chemspeed clear
./dataset/capping_clear/clear_rack_194.jpg,capping clear
./dataset\chemspeed_hazard\image_398.jpg,chemspeed hazard
./dataset/capping_clear/clear_rack_143.jpg,capping clear
./dataset/capping_hazard/spillage_89.jpg,capping spillage
dataset/navigation/other objects on the floor_96.jpg,navigation other objects
dataset/navigation/Empty floor_407.jpg,navigation Empty floor
./dataset\chemspeed_hazard\image_459.jpg,chemspeed hazard
./dataset\chemspeed_hazard\image_12.jpg,chemspeed hazard
./dataset\chemspeed_hazard\image_194.jpg,chemspeed hazard
./dataset\chemspeed_clear\image_233.jpg,chemspeed clear
./dataset/capping_hazard/spillage_76.jpg,capping spillage
dataset/navigation/Empty floor_434.jpg,navigation Empty floor
dataset/navigation/other objects on the floor_92.jpg,navigation other objects
./dataset/capping_hazard/spillage_51.jpg,capping spillage
dataset/navigation/other objects on the floor_68.jpg,navigation other objects
./dataset/capping_clear/clear_rack_183.jpg,capping clear
./dataset/capping_hazard/spillage_55.jpg,capping spillage
./dataset\chemspeed_hazard\image_353.jpg,chemspeed hazard
./dataset\chemspeed_hazard\image_218.jpg,chemspeed hazard
dataset/navigation/object tool on the floor_62.jpg,navigation object tool
dataset/navigation/object tool on the floor_91.jpg,navigation object tool
./dataset\chemspeed_clear\image_61.jpg,chemspeed clear
./dataset/capping_hazard/spillage_95.jpg,capping spillage
dataset/navigation/object glove on the floor_28.jpg,navigation object glove
./dataset/capping_hazard/missing_vial_12.jpg,capping missing vial
./dataset\chemspeed_hazard\image_341.jpg,chemspeed hazard
./dataset/capping_clear/clear_rack_133.jpg,capping clear
./dataset/capping_hazard/obstruction_97.jpg,capping obstruction
./dataset/capping_hazard/spillage_40.jpg,capping spillage
./dataset\chemspeed_hazard\image_177.jpg,chemspeed hazard
./dataset\chemspeed_clear\image_245.jpg,chemspeed clear
dataset/navigation/Empty floor_116.jpg,navigation Empty floor
./dataset/capping_clear/clear_rack_159.jpg,capping clear
./dataset/capping_clear/clear_rack_190.jpg,capping clear
dataset/navigation/Empty floor_285.jpg,navigation Empty floor
./dataset/capping_clear/clear_rack_56.jpg,capping clear
dataset/navigation/Empty floor_224.jpg,navigation Empty floor
./dataset/capping_hazard/missing_vial_2.jpg,capping missing vial
./dataset/capping_clear/clear_rack_171.jpg,capping clear
./dataset/capping_clear/clear_rack_341.jpg,capping clear
./dataset/capping_hazard/spillage_73.jpg,capping spillage
./dataset\chemspeed_hazard\image_74.jpg,chemspeed hazard
./dataset\chemspeed_clear\image_42.jpg,chemspeed clear
./dataset\chemspeed_hazard\image_288.jpg,chemspeed hazard
./dataset/capping_hazard/spillage_54.jpg,capping spillage
./dataset\chemspeed_hazard\image_462.jpg,chemspeed hazard
./dataset\chemspeed_hazard\image_228.jpg,chemspeed hazard
./dataset\chemspeed_clear\image_221.jpg,chemspeed clear
./dataset/capping_clear/clear_rack_255.jpg,capping clear
./dataset/capping_hazard/missing_vial_38.jpg,capping missing vial
./dataset\chemspeed_hazard\image_415.jpg,chemspeed hazard
./dataset\chemspeed_clear\image_349.jpg,chemspeed clear
dataset/navigation/Empty floor_458.jpg,navigation Empty floor
dataset/navigation/Empty floor_114.jpg,navigation Empty floor
./dataset/capping_hazard/spillage_41.jpg,capping spillage
./dataset\chemspeed_hazard\image_268.jpg,chemspeed hazard
dataset/navigation/object glove on the floor_113.jpg,navigation object glove
./dataset/capping_hazard/spillage_93.jpg,capping spillage
dataset/navigation/Empty floor_164.jpg,navigation Empty floor
./dataset\chemspeed_hazard\image_270.jpg,chemspeed hazard
dataset/navigation/object glove on the floor_100.jpg,navigation object glove
dataset/navigation/object vial on the floor_46.jpg,navigation object vial
./dataset\chemspeed_hazard\image_455.jpg,chemspeed hazard
./dataset\chemspeed_hazard\image_192.jpg,chemspeed hazard
dataset/navigation/object tool on the floor_87.jpg,navigation object tool
./dataset/capping_clear/clear_rack_115.jpg,capping clear
./dataset/capping_clear/clear_rack_105.jpg,capping clear
./dataset\chemspeed_clear\image_191.jpg,chemspeed clear
dataset/navigation/object glove on the floor_108.jpg,navigation object glove
./dataset/capping_hazard/obstruction_77.jpg,capping obstruction
dataset/navigation/object vial on the floor_53.jpg,navigation object vial
dataset/navigation/other objects on the floor_21.jpg,navigation other objects
./dataset\chemspeed_clear\image_348.jpg,chemspeed clear
./dataset/capping_clear/clear_rack_108.jpg,capping clear
./dataset/capping_clear/clear_rack_111.jpg,capping clear
dataset/navigation/object vial on the floor_34.jpg,navigation object vial
./dataset/capping_hazard/spillage_48.jpg,capping spillage
./dataset\chemspeed_clear\image_204.jpg,chemspeed clear
./dataset\chemspeed_clear\image_365.jpg,chemspeed clear
dataset/navigation/Empty floor_366.jpg,navigation Empty floor
./dataset\chemspeed_hazard\image_231.jpg,chemspeed hazard
dataset/navigation/object vial on the floor_125.jpg,navigation object vial
./dataset\chemspeed_clear\image_236.jpg,chemspeed clear
./dataset/capping_hazard/missing_cap_82.jpg,capping missing cap
dataset/navigation/object vial on the floor_133.jpg,navigation object vial
./dataset\chemspeed_hazard\image_100.jpg,chemspeed hazard
./dataset\chemspeed_clear\image_320.jpg,chemspeed clear
./dataset/capping_hazard/spillage_39.jpg,capping spillage
dataset/navigation/other objects on the floor_36.jpg,navigation other objects
dataset/navigation/other objects on the floor_40.jpg,navigation other objects
./dataset/capping_hazard/missing_cap_2.jpg,capping missing cap
dataset/navigation/object glove on the floor_15.jpg,navigation object glove
./dataset/capping_clear/clear_rack_449.jpg,capping clear
dataset/navigation/Empty floor_41.jpg,navigation Empty floor
./dataset/capping_hazard/spillage_42.jpg,capping spillage
./dataset\chemspeed_hazard\image_291.jpg,chemspeed hazard
./dataset\chemspeed_clear\image_135.jpg,chemspeed clear
dataset/navigation/Empty floor_450.jpg,navigation Empty floor
dataset/navigation/object vial on the floor_85.jpg,navigation object vial
./dataset\chemspeed_clear\image_121.jpg,chemspeed clear
./dataset/capping_clear/clear_rack_450.jpg,capping clear
./dataset/capping_hazard/missing_vial_77.jpg,capping missing vial
./dataset/capping_hazard/spillage_10.jpg,capping spillage
dataset/navigation/Empty floor_439.jpg,navigation Empty floor
dataset/navigation/Empty floor_212.jpg,navigation Empty floor
./dataset\chemspeed_clear\image_202.jpg,chemspeed clear
./dataset/capping_clear/clear_rack_181.jpg,capping clear
./dataset\chemspeed_clear\image_60.jpg,chemspeed clear
dataset/navigation/Empty floor_99.jpg,navigation Empty floor
dataset/navigation/object glove on the floor_13.jpg,navigation object glove
./dataset/capping_hazard/spillage_23.jpg,capping spillage
dataset/navigation/Empty floor_98.jpg,navigation Empty floor
dataset/navigation/Empty floor_173.jpg,navigation Empty floor
dataset/navigation/object vial on the floor_32.jpg,navigation object vial
dataset/navigation/object vial on the floor_105.jpg,navigation object vial
./dataset\chemspeed_clear\image_120.jpg,chemspeed clear
dataset/navigation/Empty floor_470.jpg,navigation Empty floor
dataset/navigation/Empty floor_148.jpg,navigation Empty floor
./dataset/capping_clear/clear_rack_312.jpg,capping clear
dataset/navigation/object glove on the floor_58.jpg,navigation object glove
./dataset/capping_hazard/obstruction_58.jpg,capping obstruction
./dataset\chemspeed_hazard\image_473.jpg,chemspeed hazard
dataset/navigation/object vial on the floor_129.jpg,navigation object vial
dataset/navigation/object tool on the floor_65.jpg,navigation object tool
./dataset/capping_clear/clear_rack_351.jpg,capping clear
./dataset/capping_hazard/missing_cap_26.jpg,capping missing cap
./dataset/capping_hazard/missing_cap_55.jpg,capping missing cap
./dataset/capping_hazard/missing_cap_64.jpg,capping missing cap
./dataset/capping_clear/clear_rack_278.jpg,capping clear
./dataset\chemspeed_hazard\image_292.jpg,chemspeed hazard
dataset/navigation/other objects on the floor_73.jpg,navigation other objects
dataset/navigation/other objects on the floor_127.jpg,navigation other objects
./dataset\chemspeed_clear\image_381.jpg,chemspeed clear
dataset/navigation/other objects on the floor_63.jpg,navigation other objects
./dataset/capping_hazard/obstruction_25.jpg,capping obstruction
./dataset/capping_hazard/obstruction_66.jpg,capping obstruction
dataset/navigation/other objects on the floor_129.jpg,navigation other objects
dataset/navigation/Empty floor_10.jpg,navigation Empty floor
./dataset/capping_hazard/missing_vial_62.jpg,capping missing vial
./dataset/capping_clear/clear_rack_416.jpg,capping clear
dataset/navigation/Empty floor_329.jpg,navigation Empty floor
dataset/navigation/object vial on the floor_111.jpg,navigation object vial
dataset/navigation/Empty floor_190.jpg,navigation Empty floor
dataset/navigation/object tool on the floor_72.jpg,navigation object tool
./dataset\chemspeed_clear\image_270.jpg,chemspeed clear
./dataset\chemspeed_hazard\image_395.jpg,chemspeed hazard
./dataset\chemspeed_hazard\image_233.jpg,chemspeed hazard
./dataset/capping_clear/clear_rack_431.jpg,capping clear
dataset/navigation/Empty floor_249.jpg,navigation Empty floor
./dataset\chemspeed_clear\image_326.jpg,chemspeed clear
dataset/navigation/Empty floor_480.jpg,navigation Empty floor
dataset/navigation/object vial on the floor_52.jpg,navigation object vial
dataset/navigation/object vial on the floor_142.jpg,navigation object vial
./dataset\chemspeed_hazard\image_157.jpg,chemspeed hazard
./dataset\chemspeed_hazard\image_42.jpg,chemspeed hazard
dataset/navigation/other objects on the floor_62.jpg,navigation other objects
./dataset/capping_clear/clear_rack_39.jpg,capping clear
./dataset\chemspeed_clear\image_138.jpg,chemspeed clear
dataset/navigation/Empty floor_524.jpg,navigation Empty floor
./dataset\chemspeed_clear\image_343.jpg,chemspeed clear
dataset/navigation/Empty floor_438.jpg,navigation Empty floor
./dataset/capping_clear/clear_rack_376.jpg,capping clear
./dataset\chemspeed_clear\image_273.jpg,chemspeed clear
./dataset/capping_clear/clear_rack_40.jpg,capping clear
./dataset/capping_clear/clear_rack_232.jpg,capping clear
./dataset\chemspeed_clear\image_370.jpg,chemspeed clear
./dataset\chemspeed_hazard\image_107.jpg,chemspeed hazard
./dataset\chemspeed_clear\image_106.jpg,chemspeed clear
./dataset/capping_hazard/missing_vial_41.jpg,capping missing vial
./dataset/capping_clear/clear_rack_176.jpg,capping clear
./dataset\chemspeed_clear\image_17.jpg,chemspeed clear
./dataset\chemspeed_clear\image_235.jpg,chemspeed clear
./dataset/capping_hazard/spillage_70.jpg,capping spillage
./dataset\chemspeed_clear\image_494.jpg,chemspeed clear
dataset/navigation/object tool on the floor_2.jpg,navigation object tool
./dataset/capping_hazard/spillage_62.jpg,capping spillage
./dataset\chemspeed_clear\image_237.jpg,chemspeed clear
dataset/navigation/Empty floor_500.jpg,navigation Empty floor
